Benchmark,Mode,Threads,Samples,Score,Tail0,ScoreError,Tail1,Unit
com.sbt.concurrent.CounterBenchmark.MagicCounter:incrementMagicCounter,thrpt,6,10,42915301,874690,1342255,406551,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter,thrpt,6,10,23977057,298191,644946,105869,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter:getValueMutexCounter,thrpt,6,10,9374566,867216,712150,949766,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter:incrementMutexCounter,thrpt,6,10,14602490,430975,115219,517009,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter,thrpt,64,10,108599628,043360,15469985,962285,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:getValueConcurrentCounter,thrpt,64,10,74556061,406882,16140670,210534,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:incrementConcurrentCounter,thrpt,64,10,34043566,636478,1091922,493823,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter,thrpt,64,10,7167152,163212,549282,506919,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter:getValueLockCounter,thrpt,64,10,6935831,151747,292398,283417,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter:incrementLockCounter,thrpt,64,10,231321,011465,552302,841966,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter,thrpt,64,10,64593946,770206,7902496,042195,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter:getValueMagicCounter,thrpt,64,10,10600,647642,1906,402464,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter:incrementMagicCounter,thrpt,64,10,64583346,122564,7903477,014648,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter,thrpt,64,10,23841797,106220,152526,465354,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter:getValueMutexCounter,thrpt,64,10,8996383,787400,163401,098815,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter:incrementMutexCounter,thrpt,64,10,14845413,318820,157431,067830,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter,thrpt,8,10,94952578,464433,3946031,950884,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:getValueConcurrentCounter,thrpt,8,10,59518640,175045,4563259,818967,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:incrementConcurrentCounter,thrpt,8,10,35433938,289387,865805,136406,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter,thrpt,8,10,17077046,585355,285590,882413,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter:getValueLockCounter,thrpt,8,10,4923966,655322,148504,608137,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter:incrementLockCounter,thrpt,8,10,12153079,930034,408923,582386,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter,thrpt,8,10,42698479,346875,903558,760728,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter:getValueMagicCounter,thrpt,8,10,10045,206974,324,114697,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter:incrementMagicCounter,thrpt,8,10,42688434,139901,903687,548512,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter,thrpt,8,10,24982533,220248,83584,202504,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter:getValueMutexCounter,thrpt,8,10,9128044,160800,178756,095204,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter:incrementMutexCounter,thrpt,8,10,15854489,059448,157671,692152,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter,thrpt,16,10,121210159,207181,24299380,896211,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:getValueConcurrentCounter,thrpt,16,10,89522738,121877,26735426,350062,ops/s
com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:incrementConcurrentCounter,thrpt,16,10,31687421,085304,2583874,509571,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter,thrpt,16,10,9771292,218432,1820172,177485,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter:getValueLockCounter,thrpt,16,10,6889438,388814,295275,424033,ops/s
com.sbt.concurrent.CounterBenchmark.LockCounter:incrementLockCounter,thrpt,16,10,2881853,829618,2044503,086690,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter,thrpt,16,10,58150491,659864,4142461,818530,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter:getValueMagicCounter,thrpt,16,10,3092,604489,4153,438281,ops/s
com.sbt.concurrent.CounterBenchmark.MagicCounter:incrementMagicCounter,thrpt,16,10,58147399,055376,4144381,553027,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter,thrpt,16,10,24725203,365630,521898,542676,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter:getValueMutexCounter,thrpt,16,10,9328656,048830,460705,558660,ops/s
com.sbt.concurrent.CounterBenchmark.MutexCounter:incrementMutexCounter,thrpt,16,10,15396547,316800,143563,931298,ops/s
