"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter","thrpt",6,10,"92411875,530895","5562557,564094","ops/s"
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:getValueConcurrentCounter","thrpt",6,10,"56641778,354748","5587736,743453","ops/s"
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:incrementConcurrentCounter","thrpt",6,10,"35770097,176147","848751,444680","ops/s"
"com.sbt.concurrent.CounterBenchmark.LockCounter","thrpt",6,10,"19942523,215961","246195,340010","ops/s"
"com.sbt.concurrent.CounterBenchmark.LockCounter:getValueLockCounter","thrpt",6,10,"4901749,392135","68943,654575","ops/s"
"com.sbt.concurrent.CounterBenchmark.LockCounter:incrementLockCounter","thrpt",6,10,"15040773,823826","302752,919408","ops/s"
"com.sbt.concurrent.CounterBenchmark.MagicCounter","thrpt",6,10,"42925423,986970","1342246,422694","ops/s"
"com.sbt.concurrent.CounterBenchmark.MagicCounter:getValueMagicCounter","thrpt",6,10,"10122,112281","294,513638","ops/s"
"com.sbt.concurrent.CounterBenchmark.MagicCounter:incrementMagicCounter","thrpt",6,10,"42915301,874690","1342255,406551","ops/s"
"com.sbt.concurrent.CounterBenchmark.MutexCounter","thrpt",6,10,"23977057,298191","644946,105869","ops/s"
"com.sbt.concurrent.CounterBenchmark.MutexCounter:getValueMutexCounter","thrpt",6,10,"9374566,867216","712150,949766","ops/s"
"com.sbt.concurrent.CounterBenchmark.MutexCounter:incrementMutexCounter","thrpt",6,10,"14602490,430975","115219,517009","ops/s"
