"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter","thrpt",64,10,"108599628,043360","15469985,962285","ops/s"
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:getValueConcurrentCounter","thrpt",64,10,"74556061,406882","16140670,210534","ops/s"
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:incrementConcurrentCounter","thrpt",64,10,"34043566,636478","1091922,493823","ops/s"
"com.sbt.concurrent.CounterBenchmark.LockCounter","thrpt",64,10,"7167152,163212","549282,506919","ops/s"
"com.sbt.concurrent.CounterBenchmark.LockCounter:getValueLockCounter","thrpt",64,10,"6935831,151747","292398,283417","ops/s"
"com.sbt.concurrent.CounterBenchmark.LockCounter:incrementLockCounter","thrpt",64,10,"231321,011465","552302,841966","ops/s"
"com.sbt.concurrent.CounterBenchmark.MagicCounter","thrpt",64,10,"64593946,770206","7902496,042195","ops/s"
"com.sbt.concurrent.CounterBenchmark.MagicCounter:getValueMagicCounter","thrpt",64,10,"10600,647642","1906,402464","ops/s"
"com.sbt.concurrent.CounterBenchmark.MagicCounter:incrementMagicCounter","thrpt",64,10,"64583346,122564","7903477,014648","ops/s"
"com.sbt.concurrent.CounterBenchmark.MutexCounter","thrpt",64,10,"23841797,106220","152526,465354","ops/s"
"com.sbt.concurrent.CounterBenchmark.MutexCounter:getValueMutexCounter","thrpt",64,10,"8996383,787400","163401,098815","ops/s"
"com.sbt.concurrent.CounterBenchmark.MutexCounter:incrementMutexCounter","thrpt",64,10,"14845413,318820","157431,067830","ops/s"
