"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter","thrpt",8,10,"94952578,464433","3946031,950884","ops/s"
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:getValueConcurrentCounter","thrpt",8,10,"59518640,175045","4563259,818967","ops/s"
"com.sbt.concurrent.CounterBenchmark.ConcurrentCounter:incrementConcurrentCounter","thrpt",8,10,"35433938,289387","865805,136406","ops/s"
"com.sbt.concurrent.CounterBenchmark.LockCounter","thrpt",8,10,"17077046,585355","285590,882413","ops/s"
"com.sbt.concurrent.CounterBenchmark.LockCounter:getValueLockCounter","thrpt",8,10,"4923966,655322","148504,608137","ops/s"
"com.sbt.concurrent.CounterBenchmark.LockCounter:incrementLockCounter","thrpt",8,10,"12153079,930034","408923,582386","ops/s"
"com.sbt.concurrent.CounterBenchmark.MagicCounter","thrpt",8,10,"42698479,346875","903558,760728","ops/s"
"com.sbt.concurrent.CounterBenchmark.MagicCounter:getValueMagicCounter","thrpt",8,10,"10045,206974","324,114697","ops/s"
"com.sbt.concurrent.CounterBenchmark.MagicCounter:incrementMagicCounter","thrpt",8,10,"42688434,139901","903687,548512","ops/s"
"com.sbt.concurrent.CounterBenchmark.MutexCounter","thrpt",8,10,"24982533,220248","83584,202504","ops/s"
"com.sbt.concurrent.CounterBenchmark.MutexCounter:getValueMutexCounter","thrpt",8,10,"9128044,160800","178756,095204","ops/s"
"com.sbt.concurrent.CounterBenchmark.MutexCounter:incrementMutexCounter","thrpt",8,10,"15854489,059448","157671,692152","ops/s"
